new ID,formula,bandgap,n,orientation,A'_MPI,A'_AW,A'_V,A'_R,A'_Rb,A'_ρ,A'_SA,A'_EN,A'_SE,A'_BT,A'_VIP,A'_VEA,A'_ME,A'_CP,A'_Ha,A'_So,A'_EI,A'_NI,A'_DMD,A'_DM,A_MPI,A_AW,A_V,A_R,A_Rb,A_ρ,A_SA,A_EN,A_SE,A_BT,A_VIP,A_VEA,A_ME,A_CP,A_Ha,A_So,A_EI,A_NI,A_DMD,A_DM,B_W,B_E(m&b,B_E(p),B_E(a&R) ,B_E,B_EI1,B_EI2,B_EI3,B_CPM,B_VEN,B_Tm,B_Tb,B_EV,B_EM,B_EA,B_R,B_RC,B_IR,X_W,X_E(m&b,X_E(p),X_E(a&R) ,X_E,X_EI1,X_EI2,X_EI3,X_Tm,X_Tb,X_EV,X_EM,X_EA,X_R,X_RC,X_IR
67,[BrC6H4(CH2)2NH3]2SnI4,2.09,1,1,3.89514948,201.08347,198.41065,3.618204983,6.839706962,1.6829,190.24341,11.53482446,12.6294902,-34.31269308,11.9334,3.4372,7.6853,-7.6853,8.4962,0.1177,3.4759,-1.5023,8.265385,3.251528324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
106,[CH3(CH2)3CH(C2H5)CH2NH3]2PbI4,2.38,1,1,3.78624568,116.22479,191.61435,3.576411787,6.760702811,1.0072,194.36502,11.85136427,13.05274019,-33.90609547,12.9339,3.61,8.2719,-8.2719,9.3239,0.1073,3.6693,-2.5033,12.973904,5.103817467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
78,[C5H4NCH2NH3][CH3NH3]Pb2I7,1.88,2,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
76,[C5H4NCH2NH3][CH3NH3]2Pb3I10,1.73,3,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
77,[C5H4NCH2NH3][CH3NH3]3Pb4I13,1.66,4,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
74,[C5H4N(CH2)NH3]PbBr4,2.79,1,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
75,[C5H4N(CH2)NH3]PbI4,2.06,1,1,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
173,[NH3C6H4(CH2)2NH3]PbBr4,3.24,1,1,7.46341421,138.21046,185.4055,3.537358246,6.686877591,1.2378,189.60423,11.48542944,12.564665,-34.37614134,16.0625,6.7361,11.3993,-11.3993,9.3263,0.1072,6.9665,-5.1506,6.471802,2.545948859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
159,[FC6H4(CH2)2NH3]2SnI4,1.97,1,1,3.8545905,140.17834,178.4067,3.492276012,6.601655977,1.3047,181.92451,10.88531098,11.8028508,-35.14699773,11.8512,3.8446,7.8479,-7.8479,8.0066,0.1249,3.8461,-0.886,16.391761,6.448371755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
65,[(CH3)3N(CH2)2NH3]SnI4,1.85,1,1,8.37751358,104.19414,156.46913,3.342830813,6.319150876,1.1058,159.72559,9.075491624,9.777852515,-37.47172344,20.5801,9.1359,14.858,-14.858,11.4442,0.0874,9.6451,-9.9617,7.115587,2.799208104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
68,[BrC6H5CH2NH3]2PbI4,2.28,1,1,3.90361793,187.05685,180.07482,3.503126637,6.622167556,1.7249,182.0586,10.8958967,11.81588213,-35.13340029,-5.6318,-12.1294,-8.8806,8.8806,6.4976,0.1539,6.0687,-1.1479,16.513101,6.496105822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
153,[ClC6H5CH2NH3]2PbI4,2.33,1,1,3.97479634,142.60626,172.52468,3.453466527,6.528292112,1.3726,176.05717,10.4182323,11.24204394,-35.74696358,-5.6297,-12.339,-8.9844,8.9844,6.7093,0.149,6.0155,-1.405,13.547333,5.329399292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
160,[FC6H4(CH2)2NH3]2SnI4,1.93,1,1,3.86714319,140.17834,179.3911,3.498687379,6.613775765,1.2976,183.49663,11.00917765,11.95623853,-34.98789011,-3.777,-11.8291,-7.8031,7.8031,8.0521,0.1242,3.7808,-0.885,16.599525,6.530104249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
161,[FC6H5CH2NH3]2PbI4,2.33,1,1,4.15415564,126.15172,156.33344,3.341864233,6.317323692,1.34,162.58175,9.315107894,10.02364239,-37.16393465,12.7534,3.8456,8.2995,-8.2995,8.9078,0.1123,3.8664,-1.7867,11.961581,4.705578678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
165,[IC6H5CH2NH3]2PbI4,2.29,1,1,3.80102746,234.05779,192.01866,3.578925453,6.765454542,2.0241,191.06352,11.59808016,12.71298474,-34.2314407,-5.6199,-11.6739,-8.6469,8.6469,6.054,0.1652,6.1752,-0.6298,18.442738,7.25520771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
103,[CH2CHCH2NH3]2[CH3CH2NH3]2Pb3Br10,2.71,3,1,5.02224533,58.10244,92.92905,2.809885824,5.311693429,1.0382,109.96168,4.49173697,6.194527475,-43.35958857,-5.7594,-14.6444,-10.2019,10.2019,8.885,0.1125,5.857,-3.2754,5.184999,2.039732101,5.41010136,46.0917,77.09811,2.640296812,4.991109286,0.9927,95.43125,2.963739861,5.397679968,-45.32231162,-3.792,-17.0207,-10.4068,10.4068,13.228,0.0756,4.0936,-6.0148,3.791271,1.491452006,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
100,[C6H5NH3]2PbCl4,3.59,1,1,4.44579628,94.13464,128.0326,3.126643476,5.91047916,1.2209,137.15357,7.100980091,7.988642171,-40.0079974,-4.2329,-13.6284,-8.9306,8.9306,9.3956,0.1064,4.2444,-2.5126,6.993385,2.751134933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,35.453,2.98,3,2.83,8.3,1251.1,2297,3822,172,238.6,20.42,6.41,121.7,0.28,99,0.99
1, (BA)2(FA)n?1PbnI3n+1,1.82,1,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,5.77081042,45.06385,61.83331,2.453083545,4.637208969,1.2102,81.01372,1.327623465,4.718458495,-47.42391465,-4.7143,-16.8563,-10.7853,10.7853,12.142,0.0824,4.7901,-5.0419,0.208408,0.081985838,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
2,(BA)2(FA)2Pb3I10,1.51,3,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,5.77081042,45.06385,61.83331,2.453083545,4.637208969,1.2102,81.01372,1.327623465,4.718458495,-47.42391465,-4.7143,-16.8563,-10.7853,10.7853,12.142,0.0824,4.7901,-5.0419,0.208408,0.081985838,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
3,BA2FA2Pb3I11,1.51,3,2,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,5.77081042,45.06385,61.83331,2.453083545,4.637208969,1.2102,81.01372,1.327623465,4.718458495,-47.42391465,-4.7143,-16.8563,-10.7853,10.7853,12.142,0.0824,4.7901,-5.0419,0.208408,0.081985838,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
4,BA2MAn-1 Ge n I 3n+1,2.33,1,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
5,BA2MAn-1 Ge n I 3n+1,2.45,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
6,BA2MAn-1 Ge n I 3n+1,2.35,3,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
7,BA2MAn-1 Ge n I 3n+1,2.3,4,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,72.61,1.99,1.8,2.02,4.6,762.1,1537,3302,4.55,4,1211,3103,327.6,36.8,376.6,0.53,122,1,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
8, (BA)2(MA)Pb2Br7 ,2.45,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,79.904,2.83,2.8,2.74,7.59,1139.9,2103,3473,266,331.9,30.5,10.57,111.9,0.37,114,0.4
9,(BA)2(MA)n?1PbnI3n+1,2.215,1,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
10,(BA)2(MA)n?1PbnI3n+1,2.181111111,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
11,(BA)2(MA)n?1PbnI3n+1,1.81,3,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
12,(BA)2(MA)n?1PbnI3n+1,1.655714286,4,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
13,(BA)2(MA)n?1PbnI3n+1,1.83,5,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
14,(BA)2(MA)n?1PbnI3n+1,1.58,6,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,207.2,1.92,1.9,1.55,3.9,715.5,1450,3081,4.1,4,601,2013,177.8,4.81,195,0.83,154,0.938,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
15,BA2MAn-1 Sn n I 3n+1,2.1,1,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
16,BA2MAn-1 Sn n I 3n+1,1.95,2,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
17,(BA)2(MA)2Sn3I10,1.6,3,1,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264,6.11512817,32.06508,53.69619,2.340377951,4.424154917,0.9916,73.1777,0.37686461,4.395856533,-48.64517109,-4.0225,-19.0482,-11.5354,11.5354,15.0258,0.0666,4.4279,-8.0638,2.1661,0.852124312,118.71,1.88,1.8,1.72,4.3,708.6,1412,2943,4.15,4,505,2543,296.2,7.07,302.1,0.65,140,1.03,126.905,2.76,2.5,2.21,6.76,1008.4,1846,3184,387,457.5,41.67,15.52,106.8,0.46,133,0.65
